task_id,action_summary,why_needed,destination,required_docs,steps_short,steps_detail,office_hours,address,phone,done_condition,faq
RN-H24-01,病院・主治医から「死亡診断書（死体検案書）」を受け取る,すべての手続きの出発点です。この書類がないと、死亡届も保険金請求も何も始められません。,故人が亡くなった病院・施設,なし（医師が作成・交付）,1. 医師から「死亡診断書」を受け取る\n2. 氏名・死亡日時・場所・医師署名を確認\n3. 誤りがあればその場で訂正を依頼\n4. クリアファイルに入れて保管,1. 通常は医師から渡されます。渡されない場合は看護師に「死亡診断書をいただけますか」と声をかけてください。\n2. 漢字の間違い、日時のズレがないか目で確認してください。病院を離れた後だと修正に時間がかかります。\n3. —\n4. 折り曲げ・水濡れで使えなくなることがあります。すべての手続きの出発点になる書類です。,,,,死亡診断書の原本が手元にあり、記載内容を確認済み。,"Q.費用は？→3,000〜10,000円程度。検案書は30,000〜100,000円の場合も\nQ.何部もらえる？→原本は通常1部。コピーで対応します\nQ.名前の漢字が違う→その場で医師に伝えてください"
RN-H24-02,死亡診断書の原本をコピーし、5部以上を手元に残す。役場に届け出ると原本は回収されるため、必ず届出前にコピーすること。,保険金請求・銀行届出・年金手続きなど、あらゆる場面でコピーが必要です。原本は役場に回収されるため、出す前に必ずコピーしてください。,コンビニ・自宅プリンター等,死亡診断書（原本）,1. A3サイズのまま5部以上コピーする（10部あると安心）\n2. 文字・押印が鮮明か確認\n3. スマホでも表裏を撮影しておく\n4. 原本とコピーを別々の場所に保管,1. コンビニのマルチコピー機、自宅プリンター、葬儀社のコピー機が使えます。\n2. 医師の署名・押印が読み取れることを必ず確認してください。\n3. 正式にはコピーが必要ですが、内容確認のとき写真があると便利です。\n4.【重要】役場に死亡届を出すと原本は回収されます。必ず届出前にコピーと撮影を済ませてください。,コンビニなら24時間,,,コピーが5部以上あり、原本と分けて保管されている。,Q.何部あれば安心？→最低5部、10部あると余裕があります\nQ.スマホで撮影でもいい？→撮影もしておくと便利ですが、正式にはコピーが必要です\nQ.コンビニが近くにない→役場や葬儀社でコピーできる場合もあります
RN-H24-03,病院からご遺体を搬送し、安置する場所を手配する。葬儀社が決まっていなくても搬送だけ依頼できる。,病院の霊安室は長時間の安置ができません。搬送だけを先に手配し、葬儀社はあとから決めても大丈夫です。,葬儀社／自宅／安置施設,死亡診断書（搬送時に携行）,1. 葬儀社が決まっている→連絡して搬送依頼\n2. 決まっていない→病院提携の搬送業者に依頼\n3. 安置先を決める（自宅 or 安置施設）\n4. 搬送時に死亡診断書を携行,1. 葬儀社に電話して「病院から遺体の搬送をお願いしたい」と伝えてください。\n2. 看護師に「搬送業者を紹介してもらえますか」と聞いてください。搬送を頼んだ葬儀社に葬儀を依頼する義務はありません。\n3. 自宅安置の場合はドライアイスの手配が必要です。葬儀社が届けてくれます。\n4. 搬送中に提示を求められる場合があります。,24時間対応,{要確認：北竜町近隣の葬儀社},{要確認：葬儀社の電話番号},ご遺体が安置先に搬送・安置されている。,"Q.葬儀社が決まっていないが→搬送だけ先に依頼できます。その葬儀社に葬儀を頼む義務はありません\nQ.自宅に安置できる？→可能です。ドライアイスの手配が必要です\nQ.搬送の費用は？→10,000〜30,000円程度が目安です"
RN-H24-04,故人の通帳・印鑑・キャッシュカード・保険証券・年金手帳などを探し、1か所にまとめて保管する。,今後の手続き（銀行届出・保険金請求・相続）すべてで必要になります。紛失すると再発行に時間がかかります。,故人の自宅・施設の居室,なし,1. 故人の自宅で通帳・印鑑・保険証券・年金手帳等を探す\n2. 見つけたものをスマホで撮影してリスト化\n3. 1か所にまとめて鍵のかかる場所に保管\n4. 保管場所を家族に共有,1. 探す場所の目安：タンスの引き出し、仏壇周り、金庫、書斎の机、寝室。探すもの：通帳・カード・届出印・保険証券・年金手帳/証書・健康保険証・介護保険証・マイナンバーカード・免許証・権利証・固定資産税通知書・車検証。遺言書が見つかっても絶対に開封しないでください。\n2. 通帳は口座番号のページ、保険証券は証券番号のページも撮影しておくと後で役立ちます。\n3. —\n4. LINEやメモで「○○の□□に保管した」と伝えておくと安心です。見つからないものがあっても再発行できるので焦らなくてOKです。,,,,貴重品リストが作成され、安全な場所に保管されている。,Q.通帳が見つからない→銀行に届け出れば再発行できます\nQ.印鑑がどれかわからない→全部保管して銀行で照合してもらいましょう\nQ.故人と同居していなくて家に入れない→大家や管理会社に事情を説明し立ち会いをお願いしてください
RN-H24-05,故人の自宅の施錠・ガスの元栓・水回りを確認する。北竜町の冬季は水道管凍結にも注意。,空き家になると防犯上のリスクや、冬季の水道管凍結・ガス漏れの危険があります。,故人の自宅,なし,1. 全窓・全ドアの施錠を確認\n2. ガスの元栓を閉める\n3. 冬季は水道の水抜きをする（不明なら役場に相談）\n4. 不要な電気機器のコンセントを抜く\n5. 郵便受けに鍵をかける,1. 裏口・勝手口・2階の窓も忘れずにチェックしてください。\n2. コンロの元栓だけでなく、ガスメーター付近の元栓も閉めてください。\n3. 冬季（11〜3月）に空き家になる場合は凍結リスクがあります。北竜町役場（0164-34-2111）に「水抜きの方法を教えてほしい」と相談してください。\n4. 冷蔵庫（中身の処分がまだの場合）とスマホ充電器は残してください。\n5. 同居の場合は故人の部屋の窓の施錠確認だけでOK。遠方で行けない場合は親族・大家に依頼してください。,,,,施錠・火の元・水回りが確認され安全な状態。,Q.同居している場合は？→故人の部屋の窓の施錠を確認してください\nQ.遠方で行けない→近くの親族や大家に依頼してください\nQ.冬場の水抜きがわからない→北竜町役場（0164-34-2111）に相談してください
RN-H24-06,葬儀の代表者（喪主）を家族で話し合って決める。,葬儀社との打ち合わせ・弔電の宛名・費用負担の窓口など、葬儀全体の代表者が必要です。,,なし,1. 家族で話し合い喪主を決める\n2. 一般的な順：配偶者→長男→長女→近い親族\n3. 喪主と費用負担者（施主）は別でもOK,1. 法律上の決まりはありません。\n2. —\n3. 「喪主はお母さん、費用は子どもたちで分担」も一般的です。決まったら家族全員に共有してください。,,,,喪主が決まり、家族間で共有されている。,Q.誰がやるべき？→法律上の決まりはありません。配偶者が務めることが多いです\nQ.喪主と施主の違いは？→喪主は代表者、施主は費用を負担する人です\nQ.一人っ子で配偶者もいない→甥姪や親しい友人でも務められます
RN-H24-11,故人のスマホ・PC・タブレットを探し、充電器に接続して電源を維持する。絶対にリセットしないこと。,スマホにはサブスクの契約情報、SNSアカウント、二段階認証、電子決済の情報が入っています。電池が切れると解約や引き継ぎが非常に困難になります。,,なし,1. 故人のスマホ・PC・タブレットを探す\n2. 充電器に接続して電源を維持する\n3. パスコードの心当たりをメモする\n4. リセット・SIMカード抜き取りは絶対にしない,1. 枕元・カバン・上着のポケット・充電場所を確認してください。\n2. 充電器が見つからなければ家電量販店やコンビニで購入してください。iPhone→Lightning or USB-C、Android→USB-Cが主流。\n3. よく使われるもの：誕生日、電話番号の下4桁、結婚記念日。今解除する必要はありません。\n4. パスコードを10回間違えるとデータが消える機種があります。SMS二段階認証を受信できる状態を保つことが最優先です。,,,,デジタル機器が充電され、電源が維持されている。,Q.パスコードがわからない→電源を維持したままキャリアショップに相談してください\nQ.指紋・顔認証が使えない→亡くなった後は生体認証は使えません。PIN番号が必要です\nQ.スマホが見つからない→通信キャリアに電話してGPS確認を相談してください
RN-D7-01,葬儀を依頼する葬儀社を選んで連絡する。搬送を依頼した葬儀社にそのまま頼む義務はない。互助会に加入している場合は加入先に連絡。,葬儀の段取りはすべて葬儀社との打ち合わせで決まります。,葬儀社,なし,1. 互助会加入あり→加入先に連絡\n2. 未加入→2〜3社に概算見積もりを依頼\n3. 見積もり内容を比較する\n4. 1社に決めて正式に依頼する,"1. 会員証の有無、通帳の毎月2,000〜5,000円の引落しで確認できます。\n2. 電話で「家族が亡くなったので葬儀の相談をしたいのですが」と伝えてください。\n3. 基本プランに含まれるもの・追加費用が発生しやすい項目を比較してください。\n4. 搬送を依頼した葬儀社にそのまま頼む義務はありません。別の社に頼んでも失礼にはあたりません。",24時間対応（多くの葬儀社）,{要確認：北竜町近隣の葬儀社},{要確認：葬儀社の電話番号},葬儀社が決まり、正式に依頼済み。,Q.互助会に入っていたかわからない→通帳で毎月の引落しを確認してみてください\nQ.搬送を頼んだ葬儀社に決めなきゃいけない？→別の社に依頼してもOKです\nQ.費用の目安は？→一般葬100〜200万、家族葬30〜80万が目安です
RN-D7-02,葬儀社と打ち合わせし、日程・式場・形式（一般葬/家族葬/一日葬/直葬）・予算を決める。,日程が決まらないと関係者への連絡、お寺への依頼、火葬場の予約が進みません。,葬儀社事務所または自宅,なし（死亡診断書コピーがあるとスムーズ）,1. 事前に形式・予算上限・宗教/宗派を家族で決めておく\n2. 葬儀社と日程・式場・祭壇・返礼品・料理を決める\n3. 見積書を紙でもらう\n4. 合計金額と追加費用の可能性を確認する,1. 形式：一般葬/家族葬/一日葬/直葬。予算は「○万円以内で」と伝えられるようにしておくと話がスムーズです。\n2. 葬儀社の担当者が1つずつ確認してくれます。\n3. —\n4. 不明な項目は「これは何の費用ですか」「外せますか」と聞いて問題ありません。,葬儀社の営業時間,{要確認：葬儀社},{要確認：葬儀社の電話番号},日程・式場・形式・予算が確定し、見積書を受領済み。,Q.家族葬と一般葬の違いは？→家族葬は近親者のみで行います\nQ.友引は避けるべき？→北海道では気にしない方も多いです。火葬場の休みを確認してください\nQ.見積もりに含まれないものは？→お布施、心付け、飲食の追加分などです
RN-D7-04,故人の親族・勤務先・友人・町内会などに亡くなったことを知らせる。家族葬の場合は参列辞退のお伝えも。,参列の案内や弔電・供花の受付のために必要です。家族葬の場合は「家族のみで行います」と明確に伝えることが大切です。,,なし,1. 連絡先リストを作る（親族→勤務先→友人→町内会）\n2. 故人名・死亡日・葬儀日時/場所を電話で伝える\n3. 家族葬の場合は「家族のみで行います」と明確に伝える\n4. 連絡した相手と内容を記録しておく,1. 北竜町の場合、町内会長・隣組長への連絡も検討してください。\n2. 伝え方の例：「○○の△△（続柄）の□□です。○月○日に○○が亡くなりましたのでお知らせいたします。」\n3. 「誠に勝手ながら、故人の遺志により家族のみで執り行います」と丁重に伝えてください。\n4. あとから「連絡したかどうか」がわからなくなることを防げます。,,,,主要関係者への訃報連絡が完了。,Q.家族葬なのに参列したいと言われたら→「故人の遺志により家族のみで」と丁重にお伝えください\nQ.SNSで知らせていい？→家族の合意があれば可。拡散範囲に注意してください\nQ.勤務先にはいつ連絡する？→できるだけ早めに連絡してください
