article_id,category,sort_order,title,desc,read_time_min,related_task_ids,body_md,subcategory
LIB-001,funeral,10,葬儀直後の72時間で何を優先すべきか,迷ったら、この順番で,3,RN-D7-01,"お別れの直後は、何も手につかなくて当然です。書類の束を前に「何から始めればいいか」と感じても、それは弱さではありません。

## まず2つだけ

まず動くべきことは、たった2つです。**1日以内**に葬儀社へ連絡して安置先を確保すること。**7日以内**に役所へ死亡届を提出して火葬許可証を受け取ること。

## 後回しでも大丈夫

それ以外の手続き——銀行、保険、年金、遺品整理——は、葬儀が終わってからで十分間に合います。

## ひとりで抱えない

困ったら一人で抱え込まないでください。葬儀社のスタッフは段取りを熟知していますし、役所の「お悔やみコーナー」も無料で案内してくれます。

> ご自分のペースで大丈夫です。「分かりません」と声に出すだけで、必ず誰かが助けてくれます。
",imm
LIB-002,admin,80,死亡届と火葬許可証の流れ,7日以内に役所へ,2,RN-D7-06,"亡くなった日を含めて7日以内に、市区町村の役所へ「死亡届」を提出します。提出と同時に火葬許可証が発行され、これがないと火葬を行うことができません。

## 葬儀社が代行してくれる

実際の手続きは、ほとんどの場合、葬儀社が代行してくれます。ご遺族が用意するのは、病院から受け取った死亡診断書（A3用紙の右半分が死亡届になっています）と届出人の印鑑だけ。提出先は故人の本籍地、死亡地、または届出人の住所地、いずれかの役所です。

## 提出前にコピーを

ひとつだけ、ご自身でやっておきたいことがあります。死亡診断書を役所に提出する前に、**最低でも10枚** コピーを取ってください。原本は戻ってこず、生命保険・銀行・年金など、後の手続きで何度も求められます。

> 葬儀社が大半を進めてくれるので、「初めてで分かりません」と素直に伝えれば大丈夫です。
",start
LIB-016,funeral,80,お通夜・告別式の流れ,通夜から告別式までの流れ,3,,"通夜は故人と最後の夜を過ごす儀式、告別式は別れを告げる儀式です。地域や宗派によって異なりますが、基本の流れを知っておくと心の準備ができます。

## 通夜から告別式まで

通夜は夕方6時頃から始まり、僧侶の読経、焼香、法話、通夜振舞い（軽食）まで約2時間。翌日の告別式は午前10〜11時頃から、読経、焼香、出棺、火葬場での火葬（1〜2時間）、収骨、初七日法要（同日に繰上げ）まで進みます。

## 喪主の役割

喪主は受付近くで参列者にお迎え・お見送りをします。「本日はお越しいただきありがとうございます」の一言で十分です。焼香の作法も、前の人を真似て大丈夫です。

## 服装の基本

服装は黒の喪服、男性は白シャツに黒ネクタイ、女性は黒ストッキングと黒パンプスが基本。

> すべて葬儀社が段取りしてくれます。「分からない」と素直に伝えれば、丁寧に教えてくれます。
",imm
LIB-017,funeral,90,喪主の役割と挨拶のポイント,完璧を目指さなくていい,2,,"喪主は「家を代表する」役割ですが、完璧な所作を求められているわけではありません。気持ちが伝われば十分です。

## 挨拶のタイミング

挨拶のタイミングは、通夜・告別式の最後、出棺時、通夜振舞いの開始時。基本の構成は、参列のお礼→故人の最期の様子→故人を偲ぶ言葉→今後のお願い、という流れです。

## 言葉のひな型

「本日はご多用の中、亡き○○のためにお集まりいただき、誠にありがとうございました」と始めて、「至らぬところもあるかと存じますが、これからも変わらぬご厚誼をお願い申し上げます」で結ぶ。それで十分です。

## 詰まっても大丈夫

涙で続けられなくても、メモを読み上げても、「あとは葬儀社の方から」と引き継いでもかまいません。葬儀社に「挨拶例」をもらって、自分の言葉に少し変えるだけで形になります。

> 上手な挨拶は不要です。短くても、感謝の気持ちが伝われば、参列者は皆さん温かく受け取ってくれます。
",imm
LIB-018,funeral,100,香典のマナー（受け取る側）,受け取る側のマナー,3,,"香典は、故人への弔意とご遺族への助け合いの気持ちです。受け取る側にも、知っておきたい作法があります。

## 受付の基本

受付は親族2〜3名か、親しい知人にお願いするのが一般的。「本日はありがとうございます」と一礼して両手で受け取り、芳名帳に記帳をお願いします。その場で開封したり、金額を確認したりはしません。

## 香典帳と香典返し

香典は葬儀後、必ず **香典帳**（金額・住所・氏名）に整理してください。香典返しは、四十九日法要後に、香典の半額〜1/3ほどの「消えもの」（お茶、海苔、菓子、洗剤、カタログギフト）を、忌明け挨拶状とともに送るのが一般的です。

## 当日返しという選択

最近は受付で香典返しを渡す「当日返し」も増えています。3,000円程度の品で対応し、高額者には後日改めて送る形が一般的です。

> 「マナーを知らない」と恥じる必要はありません。葬儀社のスタッフが丁寧に教えてくれます。
",imm
LIB-019,funeral,110,火葬・収骨の流れ,心を込めて、お見送り,2,,"火葬は、故人の体と最後にお別れする時間です。流れを知っておくと、当日の気持ちの整理がつきやすくなります。

## 当日の流れ

出棺後、霊柩車などで火葬場へ移動。火葬炉前で最後の対面、僧侶の読経、焼香のあと、火葬が始まります。所要時間は **1〜2時間** ほど。控室で軽食をいただきながら、故人の思い出話をする時間です。

## 収骨（お骨上げ）

火葬後は「収骨（お骨上げ）」。2人1組で、足から頭の順に、骨壷へ納めていきます。喪主から始め、近しい家族へと続きます。

## 埋葬許可証は大切に

火葬済みの押印が押された「埋葬許可証」は、納骨時に必要なので大切に保管してください。分骨を希望する場合は、当日ではなく **事前に** 葬儀社に伝えておくと、別途料金がかかりません。

> 体は燃えても、思い出と絆は消えません。お骨をかけがえのないものとして、ご自宅で過ごす時間も大切にしてください。
",imm
LIB-003,inheritance,10,遺言書はどこを探せばよいか,まず家の中を、ていねいに,3,RN-D14-20;RN-M3-22,"遺言書は、思いがけない場所から見つかることがあります。慌てず、心当たりを順番に確認しましょう。

## まず家の中から

最初に探したいのは、自宅の仏壇、金庫、机の引き出し、本棚の隙間、書類フォルダ。次に、銀行の貸金庫を借りていなかったか（通帳の引落履歴に「貸金庫使用料」があれば契約があります）。法務局の保管制度を使っていれば、最寄りの法務局で確認できます。

## 公証役場で検索できる

公正証書遺言は、最寄りの公証役場で「遺言検索システム」を使えば、全国どこの公証役場で作成されたものでも見つかります（手数料無料）。

## 開封は厳禁

もし自筆の遺言書が見つかっても、**絶対に開封しないでください**。家庭裁判所で「検認」という手続きを経る必要があり、勝手に開けると5万円以下の過料の対象になります（法務局保管なら検認不要）。

> 見つからなくても、法定相続分で進めるという道があります。それも不正解ではありません。
",will
LIB-004,bank,10,故人の銀行口座が凍結されたら,まず銀行に死亡を伝える,3,RN-D7-10;RN-D7-17;RN-D14-09;RN-M10-05,"銀行は故人の死亡を知ると口座を凍結します。引き出しも公共料金の引落も止まりますが、お金が消えたわけではありません。相続手続きが終われば、必ず受け取れます。

## まず銀行に電話

まずは銀行に電話して、必要書類の案内をもらってください。一般的には、故人の出生から死亡までの戸籍謄本、相続人全員の戸籍謄本と印鑑証明書、銀行所定の相続手続依頼書が必要になります。

## 葬儀費用に困ったら

葬儀費用や当面の生活費にすぐ困るときは、**仮払い制度** が使えます。1金融機関あたり上限150万円まで、相続手続き完了前でも引き出しが可能です。

## 引落の切替を忘れずに

公共料金やサブスクリプションの引落口座も、別途切り替えが必要です。早めに各事業者へ連絡を。

> 「凍結された＝お金が消えた」ではありません。順を追えば、必ずご家族の手に戻ります。
",access
LIB-005,insurance,10,生命保険の請求はいつ・どうやって,請求しないと支払われない,3,RN-D14-11;RN-D14-11b;RN-D14-11c,"生命保険は、遺族が請求してはじめて支払われます。葬儀費用や当座の生活費の支えになる、大切なお金です。

## 請求の流れ

まず保険会社に電話して、請求書類一式を取り寄せます。提出する書類は、死亡診断書のコピー、戸籍謄本、受取人の本人確認書類など。通常 **1〜2週間** で指定口座に振り込まれます。

## 期限と税金

請求期限は3年が原則。それを過ぎても事情によっては支払われることがあるので、諦めずに連絡してください。受取人が法定相続人の場合、500万円 × 法定相続人の数までは相続税が非課税です。

## 加入状況がわからないとき

故人の加入状況がはっきりしないときは、生命保険協会の「**生命保険契約照会制度**」（手数料3,000円）で、加入の可能性を一括照会できます。

> 「ふと思い出した」程度の保険でも、まず保険会社に電話を。意外な金額が支払われることがあります。
",life
LIB-006,pension,10,健康保険・年金で忘れがちな落とし穴,14日以内に動き出す,3,,"健康保険と年金は、放っておくと余計な保険料が請求されたり、もらえるはずのお金が遅れたりします。死亡から **14日以内** を目安に動き出してください。

## まずやること

まずやるべきは、健康保険証の返却（社保なら勤務先、国保・後期高齢者なら役所）と、年金の受給停止届（年金事務所）。同時に、葬祭費・埋葬料（5万円程度）、未支給年金、高額療養費の還付など、戻ってくるお金もあわせて確認します。

## 遺族厚生年金の確認

故人が会社員だった場合は、配偶者や子に **遺族厚生年金** が支給される可能性があります。請求は5年以内ですが、早めに年金事務所（0570-05-1165、予約推奨）に相談してください。

> 制度は複雑ですが、窓口の方は皆さん丁寧です。「何が分からないか分からない」状態で相談していいんです。
",start
